[0510/104358.149:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0510/153201.128:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/153206.145:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/153211.162:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/153216.180:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/153221.194:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/153226.211:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/153231.222:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/153236.283:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/153241.297:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/153246.302:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/153251.318:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/153256.326:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0510/153301.334:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
